Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_SYBR1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-05 19:55:56 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOISE,NOSIGNAL
A12,NTC,D,NTC,SYBR,None,Undetermined,,,,,,0,0.1,1,3,39,,N,N,N,N
B1,Sample 2,Ofav,UNKNOWN,SYBR,None,22.0675678253,22.1480865479,0.1138706729,,,,0,0.1,1,3,18,,N,N,N,N
B2,Sample 2,D,UNKNOWN,SYBR,None,26.1488723755,26.4261016846,0.392060101,,,,0,0.1,1,3,22,,N,N,N,N
B3,Sample 2,Ofav,UNKNOWN,SYBR,None,22.2286052704,22.1480865479,0.1138706729,,,,0,0.1,1,3,18,,N,N,N,N
B4,Sample 2,D,UNKNOWN,SYBR,None,26.7033290863,26.4261016846,0.392060101,,,,0,0.1,1,3,23,,N,N,N,N
B5,Sample 10,Ofav,UNKNOWN,SYBR,None,25.3539848328,25.4533138275,0.1404724121,,,,0,0.1,1,3,22,,N,N,N,N
B6,Sample 10,D,UNKNOWN,SYBR,None,26.6235332489,26.6804351807,0.0804714859,,,,0,0.1,1,3,23,,N,N,N,N
B7,Sample 10,Ofav,UNKNOWN,SYBR,None,25.5526428223,25.4533138275,0.1404724121,,,,0,0.1,1,3,21,,N,N,N,N
B8,Sample 10,D,UNKNOWN,SYBR,None,26.7373371124,26.6804351807,0.0804714859,,,,0,0.1,1,3,22,,N,N,N,N
B9,Sample 17,Ofav,UNKNOWN,SYBR,None,24.6872997284,24.7726020813,0.1206343994,,,,0,0.1,1,3,22,,N,N,N,N
B10,Sample 17,D,UNKNOWN,SYBR,None,26.9456291199,26.7488822937,0.2782420218,,,,0,0.1,1,3,24,,N,N,N,N
B11,Sample 17,Ofav,UNKNOWN,SYBR,None,24.8579025269,24.7726020813,0.1206343994,,,,0,0.1,1,3,21,,N,N,N,N
B12,Sample 17,D,UNKNOWN,SYBR,None,26.5521354675,26.7488822937,0.2782420218,,,,0,0.1,1,3,23,,N,N,N,N
C1,Sample 3,Ofav,UNKNOWN,SYBR,None,22.1327152252,22.1988563538,0.0935390294,,,,0,0.1,1,3,18,,N,N,N,N
C2,Sample 3,D,UNKNOWN,SYBR,None,26.6502590179,26.276184082,0.5290204883,,,,0,0.1,1,3,23,,N,Y,N,N
C3,Sample 3,Ofav,UNKNOWN,SYBR,None,22.2649993896,22.1988563538,0.0935390294,,,,0,0.1,1,3,19,,N,N,N,N
C4,Sample 3,D,UNKNOWN,SYBR,None,25.9021110535,26.276184082,0.5290204883,,,,0,0.1,1,3,22,,N,Y,N,N
C5,Sample 11,Ofav,UNKNOWN,SYBR,None,24.2376670837,24.3968009949,0.2250493318,,,,0,0.1,1,3,20,,N,N,N,N
C6,Sample 11,D,UNKNOWN,SYBR,None,26.1385116577,26.0389595032,0.1407893598,,,,0,0.1,1,3,22,,N,N,N,N
C7,Sample 11,Ofav,UNKNOWN,SYBR,None,24.555934906,24.3968009949,0.2250493318,,,,0,0.1,1,3,20,,N,N,N,N
C8,Sample 11,D,UNKNOWN,SYBR,None,25.9394054413,26.0389595032,0.1407893598,,,,0,0.1,1,3,22,,N,N,N,N
C9,Sample 18,Ofav,UNKNOWN,SYBR,None,23.6268501282,23.8232307434,0.2777227759,,,,0,0.1,1,3,20,,N,N,N,N
C10,Sample 18,D,UNKNOWN,SYBR,None,25.1561603546,25.2256240845,0.0982378945,,,,0,0.1,1,3,20,,N,N,N,N
C11,Sample 18,Ofav,UNKNOWN,SYBR,None,24.0196094513,23.8232307434,0.2777227759,,,,0,0.1,1,3,21,,N,N,N,N
C12,Sample 18,D,UNKNOWN,SYBR,None,25.2950897217,25.2256240845,0.0982378945,,,,0,0.1,1,3,21,,N,N,N,N
D1,Sample 4,Ofav,UNKNOWN,SYBR,None,22.4506893158,22.6273345947,0.2498154938,,,,0,0.1,1,3,18,,N,N,N,N
D2,Sample 4,D,UNKNOWN,SYBR,None,24.9438896179,25.0337905884,0.127140522,,,,0,0.1,1,3,21,,N,N,N,N
D3,Sample 4,Ofav,UNKNOWN,SYBR,None,22.803981781,22.6273345947,0.2498154938,,,,0,0.1,1,3,19,,N,N,N,N
D4,Sample 4,D,UNKNOWN,SYBR,None,25.1236934662,25.0337905884,0.127140522,,,,0,0.1,1,3,22,,N,N,N,N
